F/S,Qty,KSI Part #,Description,
AC 7,1,2000487,Rod Eye,
AC 7,1,2000488,Swivel Eye Bracket,
AC 7,1,2000489,Air Cylinder,
B1,6,3420007,Air Blower Filter,
BI MTS,1,N/A,Blower Isolation Mounts,
COMP 1,1,2000282,Compensator Inlet,
CP,1,N/A,Electrical Control Panel,
DC,1,5040010,Deflector Cap,
EV 5,1,2000461,"Solenoid Valve Bed Main Gas 1/2"" W/POC  ",
EV 5 DIN Connector,1,2000291,DIN Connector,
EV511/512,2,3020040,"Solenoid Valve Bed High/Low Gas 1/2"" ",
EV 511/512 DIN Conn,2,2000291,DIN Connector,
EV 52A-B,2,3020039,"Solenoid Valve PB Gas 1/4"" NC",
EV 53,1,2000211,"Solenoid Valve Gas Line  3-Way   1/4""",
EV 54,1,2000229,"Solenoid Valve Gas Line  NO  1/2""",
"EV 711,712",2,2000377,Connector w/cord,
F/PC 7,1,2000490,Pressure Regulator/Filter,
FAN 1,1,N/A,Exhaust Fan  RBA 909,
FC 711/712,4,2000491,Flow Control,
FI5,1,3460195,Flow Indicator,
FLEX 1,1,3090051,"Expansion Joint Flanged 2""",
FLEX 2-3-6,3,3090167,"Flexible Connection  1/2""x17.5"" ",
FLEX 4,1,2000462,"Flexible Connection 1 1/2"" Air Brown Beam",
FLEX 5,1,3090168,"Flexible Connection 1/4""x18"" Gas Pilot Burner",
GRAVEL,14,200097,Gravel,
GS,3,1200525,Graphite seals,
HB,2,2000232,Hood Bearings,
HBS,2,N/A,Hood Bearing Shank,
HBS,4,N/A,Hood Bearing  Retaining Ring,
Hoist,1,N/A,Scissors Hoist   1/2 Ton   415v/3ph/50hz,
HV 1,1,2000463,"Gate Valve  1 1/2"" Air Bleed Off Fluidization",
HV 12,1,2000463,"Gate Valve  1 1/2"" Air To Brown Beam",
HV 5A,1,2000367,"Ball Valve 1/2"" Gas",
"HNV 1, 2",2,2000367,"Ball Valve 1/2"" Gas",
HV 5B,1,2000367,"Ball Valve 1/2"" Gas",
HV 6A,1,2000367,"Ball Valve 1/2""  Gas",
HV 6B,1,2000366,"Ball Valve  1/4""  Gas",
HV 7,1,2000364,"Ball Valve 1/2""  Air",
MUF 1,1,2000464,"Muffler  1 1/2"" Air  Bleed",
MUF 711/ 712,2,2000215,"Muffler  1/2""",
NAC,1,3220110,Gas (assist) Cylinder,
NP ,1,2000437,Number Plate,
NPS 1,1,2000460,Negative Pressure Switch,
NRV 11,1,2000230,"Non-Return Check Valve  2""  Wafer",
NRV 5,1,2000485,"Non-Return Check Valve  1/2""",
PB 52,1,200117-P,Pilot Burner w/Propane Orifice,
PC 3 / PC 52,2,3010050,"Pressure Regulator Pilot Air/Gas 1/2""   25-55mb (W/red spring)",
PC 3 / PC 52,2,3010094,"Pressure Regulator Pilot Air/Gas 1/2""  Red Spring  25-55mb",
PC 5,1,2000254,"Pressure Regulator Bed Gas 1/2"" 60/110mb (W/black spring)",
PC 5,1,200203,Pressure Regulator Bed Gas   Black Spring 60-110mb,
PI 1,1,3460023,Pressure Indicator,
PI 2 - PI 3,2,3460063,Pressure Indicator,,,
PI 7,1,N/A,Pressure Indicator (included with F-PC-7),
P 1,3,2000064,Distributor Plugs,
PP1-PP7,7,3090053,Pressure Port,
PS 3-4,2,3460238,"Pressure Switch   1/4""  100-500mb",
PS 5 & 6,1,2000436,"Pressure Switch, dual 1/4""  30-500mb",
PV 71,1,3220096,Solenoid Valve  120/60hz,
RB,2,1200169,Rubber Bumpers for Hoist,
S 5,1,2000465,"Y-Strainer  1/2""",
SAND,2,200000,Sand,
SFTY EQPT,1,200001,gloves,,,
SFTY EQPT,1,200171,"hat, visor, etc.",
SFTY EQPT,1,200172,leather apron,
TC,1,2000451,Track Clamp End for Festoon,
TI 1,1,3460034,Temperature Indicator   0-250C,
TC 1 - TC 3,3,3460134,Thermocouple,
 , , , ,
